bash	bash
coreutils	coreutils
stat	coreutils
find	findutils
xargs	findutils
readlink	coreutils
realpath	coreutils
lsattr	e2fsprogs
chattr	e2fsprogs
getfattr	attr
setfattr	attr
sha256sum	coreutils
md5sum	coreutils
file	file
awk	gawk
sed	sed
cut	coreutils
sort	coreutils
uniq	coreutils
tee	coreutils
flock	util-linux
date	coreutils
timeout	coreutils
stdbuf	coreutils
postgres	postgresql
psql	postgresql-client
initdb	postgresql
flyway	flyway
pgquarrel	pgquarrel
btrfs	btrfs-progs
btrfs-progs	btrfs-progs
filefrag	util-linux
df	coreutils
unzip	unzip
curl	curl
wget	wget
supervisord	supervisor
